host_lane,isolation,mechanism,iteration,status,elapsed_ms,work_units,work_unit,rate_per_second,rate_unit,observed_value,observed_unit,exit_code,note
a3s-os-linux-x86_64-kvm,microvm,memory_zero_copy,2,pass,113.987,512.000,MiB,4491.726494,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,memory_zero_copy,3,pass,113.972,512.000,MiB,4492.331726,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,memory_zero_copy,4,pass,113.911,512.000,MiB,4494.717706,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,memory_zero_copy,5,pass,114.127,512.000,MiB,4486.218381,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_write,1,pass,2071.222,256.000,MiB,123.598531,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_write,2,pass,715.583,256.000,MiB,357.750110,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_write,3,pass,665.379,256.000,MiB,384.742847,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_write,4,pass,665.097,256.000,MiB,384.906459,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_write,5,pass,766.539,256.000,MiB,333.968621,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_warm_read,1,pass,364.485,256.000,MiB,702.361468,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_warm_read,2,pass,364.512,256.000,MiB,702.308763,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_warm_read,3,pass,314.459,256.000,MiB,814.096747,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_warm_read,4,pass,618.332,256.000,MiB,414.017010,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,rootfs_warm_read,5,pass,414.568,256.000,MiB,617.510154,MiB/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,tmpfs_write,1,pass,1566.577,256.000,MiB,163.413581,MiB/s,,,0,
